iter	MultiClass
0	1.712921564
1	1.656658575
2	1.614081718
3	1.580195701
4	1.552968669
5	1.530036918
6	1.509827415
7	1.493911896
8	1.479979819
9	1.467225272
10	1.455741513
11	1.446472012
12	1.438679692
13	1.431168436
14	1.423916525
15	1.418680366
16	1.413170491
17	1.408420819
18	1.40466411
19	1.400753308
20	1.396394057
21	1.392845688
22	1.389129178
23	1.385746358
24	1.383218833
25	1.380157707
26	1.377290982
27	1.372256031
28	1.370841957
29	1.36855238
30	1.36539843
31	1.361792034
32	1.359653741
33	1.356917228
34	1.355276227
35	1.352504487
36	1.349546883
37	1.347670419
38	1.346327557
39	1.344246968
40	1.342899783
41	1.341309896
42	1.339247137
43	1.337876827
44	1.336162454
45	1.33519791
46	1.334261677
47	1.332839715
48	1.331008853
49	1.329590781
50	1.32839153
51	1.326775924
52	1.326006104
53	1.324681072
54	1.32328915
55	1.321686727
56	1.32049007
57	1.319139103
58	1.317893927
59	1.316999837
60	1.315843379
61	1.315078746
62	1.313832705
63	1.312689537
64	1.311891946
65	1.311022387
66	1.309832753
67	1.308960168
68	1.307924737
69	1.306871259
70	1.306094523
71	1.305271754
72	1.304384364
73	1.303559542
74	1.302973748
75	1.302409134
76	1.301517855
77	1.300183637
78	1.299496375
79	1.29883991
80	1.298227426
81	1.297232625
82	1.296170394
83	1.295457414
84	1.294976439
85	1.294330239
86	1.293814036
87	1.293112294
88	1.29233437
89	1.291297317
90	1.290797756
91	1.290130269
92	1.289559171
93	1.288808154
94	1.288031202
95	1.287287208
96	1.286448986
97	1.285830558
98	1.285331213
99	1.284728454
100	1.284131746
101	1.283381161
102	1.282406783
103	1.281521987
104	1.281100661
105	1.280763514
106	1.279731432
107	1.279264936
108	1.278899585
109	1.278116258
110	1.27775966
111	1.277236001
112	1.276423821
113	1.275758279
114	1.275287029
115	1.274440703
116	1.273611234
117	1.273167539
118	1.272740377
119	1.272432298
120	1.271874384
121	1.271437605
122	1.270926049
123	1.270377644
124	1.270054004
125	1.269645321
126	1.269003228
127	1.268464332
128	1.26780214
129	1.267449432
130	1.26715767
131	1.266876065
132	1.266263581
133	1.265876078
134	1.265362576
135	1.265061197
136	1.26467942
137	1.264423858
138	1.264068665
139	1.263065543
140	1.262811494
141	1.262365854
142	1.262003313
143	1.261175897
144	1.260580702
145	1.260305473
146	1.259903273
147	1.259457742
148	1.258942187
149	1.258582671
150	1.25836882
151	1.257966621
152	1.256987813
153	1.256584316
154	1.256260676
155	1.255923421
156	1.255594162
157	1.255220706
158	1.254953041
159	1.254580234
160	1.254144536
161	1.253914908
162	1.253602074
163	1.253269466
164	1.252759962
165	1.252459879
166	1.251842856
167	1.251406294
168	1.251193091
169	1.250704336
170	1.250462929
171	1.250148691
172	1.249818783
173	1.249140274
174	1.248318909
175	1.24800359
176	1.247714962
177	1.247083026
178	1.246940927
179	1.24669682
180	1.246478646
181	1.246041976
182	1.245730547
183	1.245371787
184	1.245090939
185	1.244795935
186	1.244553448
187	1.244267845
188	1.24398462
189	1.243686374
190	1.243382077
191	1.243075943
192	1.242935681
193	1.242424233
194	1.242100485
195	1.241861456
196	1.241256644
197	1.241102766
198	1.240921117
199	1.24074271
200	1.240442627
201	1.240146759
202	1.239970621
203	1.239669133
204	1.239180053
205	1.238969444
206	1.238647533
207	1.237975508
208	1.237761332
209	1.237524357
210	1.237374261
211	1.237249452
212	1.236745784
213	1.236603469
214	1.236393616
215	1.236185492
216	1.235988391
217	1.235738664
218	1.235513143
219	1.235315501
220	1.235084685
221	1.234735218
222	1.234445941
223	1.234267858
224	1.23399371
225	1.233753493
226	1.233253715
227	1.232947148
228	1.232432242
229	1.232293925
230	1.231855309
231	1.231657667
232	1.231263032
233	1.231091757
234	1.230901571
235	1.230803453
236	1.230608188
237	1.230391744
238	1.23008669
239	1.229739817
240	1.229515052
241	1.229331674
242	1.229202867
243	1.229069413
244	1.228914238
245	1.228479945
246	1.228228813
247	1.228107894
248	1.227963634
249	1.227847037
250	1.227656095
251	1.227505891
252	1.227328889
253	1.227092021
254	1.226878927
255	1.226704842
256	1.226578844
257	1.226342733
258	1.226134609
259	1.225743216
260	1.225522341
261	1.225404771
262	1.225289795
263	1.2251102
264	1.224971342
265	1.224764515
266	1.22462166
267	1.224420452
268	1.224341028
269	1.224211248
270	1.224105025
271	1.223932021
272	1.22377166
273	1.223399825
274	1.223240112
275	1.223076833
276	1.222797066
277	1.222696786
278	1.222546907
279	1.222201655
280	1.222041834
281	1.22179081
282	1.221483488
283	1.221327989
284	1.221168709
285	1.221010833
286	1.220871543
287	1.220747166
288	1.220575891
289	1.220425255
290	1.220263381
291	1.220006631
292	1.219820659
293	1.219750204
294	1.219621937
295	1.219521333
296	1.219383124
297	1.219281872
298	1.219139016
299	1.218895773
