iter	Passed	Remaining
0	207	61970
1	394	58803
2	573	56735
3	756	55967
4	939	55424
5	1109	54374
6	1306	54673
7	1491	54443
8	1653	53455
9	1812	52573
10	1987	52217
11	2170	52087
12	2336	51587
13	2513	51346
14	2710	51507
15	2872	50980
16	3062	50979
17	3230	50606
18	3387	50096
19	3548	49679
20	3716	49371
21	3886	49106
22	4043	48701
23	4179	48061
24	4314	47463
25	4479	47211
26	4655	47071
27	4794	46573
28	4918	45966
29	5051	45463
30	5212	45227
31	5347	44786
32	5521	44671
33	5657	44263
34	5805	43959
35	5939	43557
36	6086	43260
37	6257	43144
38	6383	42722
39	6515	42347
40	6618	41807
41	6773	41608
42	6900	41243
43	7067	41120
44	7217	40901
45	7334	40499
46	7479	40259
47	7618	39996
48	7773	39817
49	7934	39674
50	8085	39474
51	8244	39320
52	8352	38926
53	8517	38802
54	8646	38518
55	8781	38260
56	8938	38107
57	9085	37907
58	9230	37702
59	9400	37603
60	9533	37350
61	9670	37124
62	9854	37071
63	10008	36904
64	10118	36580
65	10286	36471
66	10430	36273
67	10587	36120
68	10713	35865
69	10853	35662
70	10992	35456
71	11163	35352
72	11317	35192
73	11467	35023
74	11575	34727
75	11738	34598
76	11868	34371
77	12049	34294
78	12204	34142
79	12353	33971
80	12464	33699
81	12638	33599
82	12805	33479
83	12963	33333
84	13067	33054
85	13226	32911
86	13404	32818
87	13586	32731
88	13719	32526
89	13837	32286
90	13985	32119
91	14116	31916
92	14282	31789
93	14440	31646
94	14589	31482
95	14758	31362
96	14910	31203
97	15049	31020
98	15211	30883
99	15372	30744
100	15499	30539
101	15637	30355
102	15742	30108
103	15909	29983
104	16052	29811
105	16214	29674
106	16324	29445
107	16466	29273
108	16606	29098
109	16770	28966
110	16925	28819
111	17080	28670
112	17185	28440
113	17363	28329
114	17532	28204
115	17644	27988
116	17756	27772
117	17888	27591
118	18022	27412
119	18174	27261
120	18334	27122
121	18489	26975
122	18639	26822
123	18808	26696
124	18961	26546
125	19111	26392
126	19302	26294
127	19445	26130
128	19554	25921
129	19714	25780
130	19865	25627
131	20016	25475
132	20119	25263
133	20263	25102
134	20434	24975
135	20587	24826
136	20748	24686
137	20863	24492
138	21009	24334
139	21119	24136
140	21256	23970
141	21410	23822
142	21575	23687
143	21683	23490
144	21793	23296
145	21931	23133
146	22095	22997
147	22254	22855
148	22363	22663
149	22523	22523
150	22684	22383
151	22829	22228
152	22940	22040
153	23045	21847
154	23210	21713
155	23382	21583
156	23549	21449
157	23708	21307
158	23872	21170
159	24037	21032
160	24150	20850
161	24320	20717
162	24482	20577
163	24659	20449
164	24770	20266
165	24920	20116
166	25106	19994
167	25293	19873
168	25437	19718
169	25615	19588
170	25774	19443
171	25938	19302
172	26108	19166
173	26223	18989
174	26341	18815
175	26507	18675
176	26634	18508
177	26754	18337
178	26917	18195
179	27078	18052
180	27236	17906
181	27354	17735
182	27476	17566
183	27647	17429
184	27820	17293
185	27991	17156
186	28146	17008
187	28306	16863
188	28465	16717
189	28650	16587
190	28810	16441
191	28976	16299
192	29119	16143
193	29317	16018
194	29505	15887
195	29624	15719
196	29741	15549
197	29888	15397
198	30052	15252
199	30216	15108
200	30388	14967
201	30575	14833
202	30753	14694
203	30859	14522
204	30973	14353
205	31135	14207
206	31320	14071
207	31438	13905
208	31591	13754
209	31718	13593
210	31870	13443
211	32029	13295
212	32142	13128
213	32314	12986
214	32473	12838
215	32646	12695
216	32774	12536
217	32955	12396
218	33126	12252
219	33311	12113
220	33452	11958
221	33624	11814
222	33716	11642
223	33848	11484
224	34001	11333
225	34149	11181
226	34239	11011
227	34397	10862
228	34490	10693
229	34597	10529
230	34687	10361
231	34808	10202
232	34907	10037
233	35031	9880
234	35153	9723
235	35274	9565
236	35399	9410
237	35534	9256
238	35634	9094
239	35782	8945
240	35920	8793
241	36027	8634
242	36156	8481
243	36264	8322
244	36409	8173
245	36502	8012
246	36593	7852
247	36718	7698
248	36835	7544
249	36962	7392
250	37090	7240
251	37227	7091
252	37361	6940
253	37456	6783
254	37606	6636
255	37743	6487
256	37891	6339
257	38032	6191
258	38190	6045
259	38287	5890
260	38431	5742
261	38555	5591
262	38689	5442
263	38840	5296
264	38995	5150
265	39155	5004
266	39267	4853
267	39408	4705
268	39529	4555
269	39661	4406
270	39807	4259
271	39954	4112
272	40102	3966
273	40200	3814
274	40347	3667
275	40497	3521
276	40652	3375
277	40782	3227
278	40934	3081
279	41031	2930
280	41173	2783
281	41330	2638
282	41439	2489
283	41579	2342
284	41700	2194
285	41832	2047
286	41958	1900
287	42105	1754
288	42266	1608
289	42411	1462
290	42570	1316
291	42675	1169
292	42831	1023
293	42975	877
294	43122	730
295	43248	584
296	43401	438
297	43536	292
298	43685	146
299	43851	0
